"Your copy of the component is not registered! All functions are disabled. Please register. Enter your S/N to register:","Your copy of the component is not registered! All functions are disabled. Please register. Enter your S/N to register:"
"The extension is not registered for the website selected. Please register it with an additional S/N.","The extension is not registered for the website selected. Please register it with an additional S/N."
"Register","Register"
"Settings have been saved","Settings have been saved"
"Settings have not been saved","Settings have not been saved"
"Save Settings","Save Settings"
"Configure %s","Configure %s"
"%s has been added to your Shopping Cart","%s has been added to your Shopping Cart"
"%s has been removed from your Shopping Cart","%s has been removed from your Shopping Cart"
"%s has been updated","%s has been updated"
"All Products have been removed from your Shopping Cart","All Products have been removed from your Shopping Cart"